"Kennziffer";"Berufsgruppe";"Gültig"
"2328";"Berufe techn. Mediengest. (sonst.spez.Tät.)";"J"
"23282";"Berufe techn. Mediengest. (sonst.spez.Tät.)-fachl.ausg.Tät.";"J"
"2329";"Aufsichts- & Führungskr.-Technische Mediengestaltung";"J"
"23293";"Aufsichtskr.-Technische Mediengestaltung";"J"
"23294";"Führungskr.-Technische Mediengestaltung";"J"
"233";"Fototechnik & Fotografie";"J"
"2331";"Berufe Fototechnik";"J"
"23312";"Berufe Fototechnik-fachl.ausg.Tät.";"J"
"23313";"Berufe Fototechnik-kompl.Spez.tät.";"J"
"23314";"Berufe Fototechnik-hoch kompl.Tät.";"J"
"2332";"Berufe Fotografie";"J"
"23322";"Berufe Fotografie-fachl.ausg.Tät.";"J"
"2339";"Aufsichtskr.-Fototechnik & Fotografie";"J"
"23393";"Aufsichtskr.-Fototechnik & Fotografie";"J"
"234";"Drucktechnik & -weiterverarbeitung, Buchbinderei";"J"
"2341";"Berufe Drucktechnik";"J"
"23411";"Berufe Drucktechnik-Helf./Anlerntät.";"J"
"23412";"Berufe Drucktechnik-fachl.ausg.Tät.";"J"
"23413";"Berufe Drucktechnik-kompl.Spez.tät.";"J"
"23414";"Berufe Drucktechnik-hoch kompl.Tät.";"J"
"2342";"Berufe Buchbinderei & Druckweiterverarbeit.";"J"
"23422";"Berufe Buchbinderei & Druckweiterverarbeit.-fachl.ausg.Tät.";"J"
"23423";"Berufe Buchbinderei & Druckweiterverarbeit.-kompl.Spez.tät.";"J"
"2349";"Aufsichtskr.-Drucktechnik &-weiterverarbeitung, Buchbinderei";"J"
"23493";"Aufsichtskr.-Drucktechnik &-weiterverarbeitung, Buchbinderei";"J"
"24";"Metallerzeugung & -bearbeitung, Metallbauberufe";"J"
"241";"Metallerzeugung";"J"
"2410";"Berufe Metallerzeugung (o.Spez.)";"J"
"24101";"Berufe Metallerzeugung (o.Spez.)-Helf./Anlerntät.";"J"
"2411";"Berufe Hüttentechnik";"J"
"24112";"Berufe Hüttentechnik-fachl.ausg.Tät.";"J"
"24113";"Berufe Hüttentechnik-kompl.Spez.tät.";"J"
"24114";"Berufe Hüttentechnik-hoch kompl.Tät.";"J"
"2412";"Berufe Metallumformung";"J"
"24122";"Berufe Metallumformung-fachl.ausg.Tät.";"J"
"24123";"Berufe Metallumformung-kompl.Spez.tät.";"J"
"24124";"Berufe Metallumformung-hoch kompl.Tät.";"J"
"2413";"Berufe industrielle Gießerei";"J"
"24132";"Berufe industrielle Gießerei-fachl.ausg.Tät.";"J"
"24133";"Berufe industrielle Gießerei-kompl.Spez.tät.";"J"
"24134";"Berufe industrielle Gießerei-hoch kompl.Tät.";"J"
"2414";"Berufe handwerkl. Metall- & Glockengießerei";"J"
"24142";"Berufe handwerkl. Metall- & Glockengießerei-fachl.ausg.Tät.";"J"
"2419";"Aufsichtskr.-Metallerzeugung";"J"
"24193";"Aufsichtskr.-Metallerzeugung";"J"
"242";"Metallbearbeitung";"J"
"2420";"Berufe Metallbearbeitung (o.Spez.)";"J"
"24201";"Berufe Metallbearbeitung (o.Spez.)-Helf./Anlerntät.";"J"
"24202";"Berufe Metallbearbeitung (o.Spez.)-fachl.ausg.Tät.";"J"
"24203";"Berufe Metallbearbeitung (o.Spez.)-kompl.Spez.tät.";"J"
"2421";"Berufe spanlose Metallbearbeitung";"J"
"24212";"Berufe spanlose Metallbearbeitung-fachl.ausg.Tät.";"J"
"2422";"Berufe schleifende Metallbearbeitung";"J"
"24222";"Berufe schleifende Metallbearbeitung-fachl.ausg.Tät.";"J"
"2423";"Berufe spanende Metallbearbeitung";"J"
"24232";"Berufe spanende Metallbearbeitung-fachl.ausg.Tät.";"J"
"24233";"Berufe spanende Metallbearbeitung-kompl.Spez.tät.";"J"
"2424";"Berufe Metallbearbeitung durch Laserstrahl";"J"
"24243";"Berufe Metallbearbeitung durch Laserstrahl-kompl.Spez.tät.";"J"
"24244";"Berufe Metallbearbeitung durch Laserstrahl-hoch kompl.Tät.";"J"
"2429";"Aufsichtskr.-Metallbearbeitung";"J"
"24293";"Aufsichtskr.-Metallbearbeitung";"J"
"243";"Metalloberflächenbehandlung";"J"
"2430";"Berufe Metalloberflächenbehandl. (o.Spez.)";"J"
"24301";"Berufe Metalloberflächenbehandl. (o.Spez.)-Helf./Anlerntät.";"J"
"24302";"Berufe Metalloberflächenbehandl. (o.Spez.)-fachl.ausg.Tät.";"J"
"24303";"Berufe Metalloberflächenbehandl. (o.Spez.)-kompl.Spez.tät.";"J"
